日本語,英語,例文,,
超過勤務,Overtime,超過勤務手当Ｏｖｅｒｔｉｍｅ　ｐａｙ労働者側の要求は超過勤務手当のことが中心となった。従業員たちは超過勤務をするのに異議を唱えた。,,
仕入れ先・納入業者・納入会社,A supplier/vendor,仕入れ先が一番用いられる」,,
～にまつわる,"To involve, involving~",人形にまつわる。星にまつわる物語。,,
心的外傷、外傷,"Mental trauma, physical trauma",彼女の傷は外傷だった。,,
出所（でどころ）・根源,An origin/source,根元・根源に同じ、話し言葉として好まれる」噂の出所を突き止める。その噂の出所を突き止めてみるとある記者だった。データの出所を入れる。,,
問いただす,To hammer with questions,金の出所について彼に問いただした。彼らは執拗に私を問いただした。,,
しきりと,Incessantly,肯定的・否定的な意味をどっちも持てる」彼はしきりと一財産を作りたがってる。しきりと悪態をつく。返答を待たずにしきりと話しかける。,,
執拗な（しつよう）,To be persistent,野党は執拗に抵抗した。彼らは経営者に執拗に賃上げを求めた。執拗な努力。執拗な問題。執拗な売り込み。執拗な抵抗。執拗な軍事攻撃。執拗に中傷する。執拗に圧力をかける。執拗に地面にしがみつく。,,
粘り強い,To be persistent,彼は粘り強い精神の持ち主だ。,,
語呂,To have a nice ring to it,父の父と母の母は語呂がいい。,,
血迷う（ちまよう）,To lose one's mind,,,
変哲もない（へんてつ）,To be ordinary,それは変哲もない石ころのように見える。何の変哲もないTo be completely normal,,
見え見え・ばればれ,To be obvious,首相の不正行為釈明は国民にとって見え見えだった。,,
～に哀悼する（あいとう）・悼む,To grieve/mourn,悼む」私たちはみんな事故により死者に哀悼の意を表した。人質事件の犠牲となった方々に哀悼の意を表す。,,
脱走者,A fugitive,脱走兵Ａ　ｄｅｓｅｒｔｅｒ,,
脱疽（だっそ）,Gangrene,,,
愚者（ぐしゃ）,A fool,,,
思い描く（おもいえがく）≪他≫,To picture in one's mind,想像する・思い浮かべるより鮮やかにする」思い描いていた夢。,,
億劫（おっくうな）,To be troublesome,厄介な、面倒な」パーティに来ていく服を選ぶのは億劫だ。休みが長すぎると、仕事に戻るのごっくうになる。彼のところへ行くのは億劫だ。億くうがらずに辞書を引きなさい。,,
帰宅する,To return home,壁を塗り終えたら、すぐに帰宅してもいいよ。母はいつ帰宅するのでしょうか。親はいつの間に帰ってきたのか。彼は夜遅くまで帰宅しなかった。,,
セロハン,Cellophane,セロハンテープ,,
割り勘にする,Splitting the cost,食事代を割り勘にした。支払いは割り勘にしよう。我々のどちらも相手を映画に連れていくだけの余裕がなかったにで、割り勘にした。,,
自信作,One's best product/s,,,
徹底する,"Enforcement, to enforce",施行する」,,
趣旨（しゅし）,"The point/gist of a talk, a goal",会社の趣旨を徹底する。貴方の趣旨は分かる。彼の演説の趣旨を教えてください。彼は私を訪れるという趣旨の手紙をくれた。読書するには趣旨をくみ取る必要がる。政府は税金を値上げするという趣旨の発表を行った。彼がいったのはそれと反対の趣旨だ。彼は愛してるという趣旨の手紙を彼女に書いた。彼は私に和えにという趣旨の手紙を私によこした。彼は給食を食べに行くという趣旨のメモを残した。彼女は彼がすぐに帰るという趣旨の手紙を受け取った。,,
汲み取る,To read the other persons thoughts,相手の気持ちや考えなどを読み取る」読書するには趣旨を汲み取る必要がある。先方の意図を汲み取る。,,
心残り（こころのこり）「がある」,Regret,私は彼に一度もやさしくしてやらなあったのが心残りだ。,,
健闘,Luck,ご健闘を！Ｂｅｓｔ　ｏｆ　ｌｕｃｋ健闘を祈ってるＩｍ　ｗｉｓｈｉｎｇ　ｙｏｕ　ｌｕｃｋ,,
肩透かし（かたすかし）、肩透かしを食わせる,"Dodging, to dodge (questions)",人に肩透かしを食わせる。首相は無知を装って彼の鋭い質問に肩透かしを食わせた。,,
手渡し（てわたし）する,To personally deliver,彼女に手紙を手渡しする。,,
無暗な（むやみ）,To be reckless,向こう見ずな」,,
暫定～（ざんてい）,To be provisional/tentative,暫定の国王。暫定プログラム。暫定予算を組む・まとめる。暫定の事務局長。暫定合意に達する。暫定報告。暫定措置をとる。暫定的なスケジュール。,,
式典,A special awards ceremony,,,
しがらみ,A tie of obligation,束縛」,,
一心に・折り入って（おりい）,Earnestly,仕事に一心に取り組む。彼女は一心に祈っていた。そのピアニストの演奏中、彼らは一心に耳を傾けていた。会いたい一心で探し続ける。,,
電子商取引（でんししょうとりひき）,E-commerce,,,
訓戒（じゅんかい）,A commandment,,,
強姦（ごうかん）,Rape,,,
～未遂,Attempted~,強姦未遂。殺人未遂,,
音楽をかける,To put on some music,,,
絶縁体,An insulator,絶縁線ＡＮ　ｉｎｓｕｌａｔｅｄ　ｗｉｒｅ絶縁テープ,,
肛門括約筋（こうもんかつやくきん）,An anal sphincter,,,
やり遂げる・やり抜く,To do to completion,,,
成し遂げる・成就する,To accomplish,,,
格段の、格段に,"Remarkable, remarkably",両者の間には格段の違いがある。彼は周知の人々より格段に優れてるので、すぐには理解されないのである。それは以前に比べて格段に進歩した。それは昨年と比べると格段の進歩だ。,,
周知（しゅうち）する,"Informing, to inform",共通知識」天才がその存命中に名を成すことはめったにないということは周知に事実である。,,
こぞる,To do collectively,こぞっていう「これ以外の言い方はほとんどない」,,
混迷（こんめい）する,"Chaos, to be in chaos",混乱よりはるかに度合いが高い」政治界が混迷してる。,,
無骨な（ぶこつ）,To be rude,不作法、洗練されてない言動」彼の態度は無骨だ,,
霊性,Spirituality,,,
温床（おんしょう）,A breeding ground,病原菌の温床。,,
めばち・ものもらい・麦粒腫（ばくりゅうしゅ）,A sty/stye,,,
プライマー,Paint primer,,,
通行権,The right of way,,,
運動量・勢い・遠心力,Momentum/syntriphical force,,,
さもなくば・さもないと,If not/if you don't,,,
～にルーズ,To be irresponsible with,何か責任のあることを大切にしない、無責任的にやる」時間にルーズ、仕事にルーズ,,
収束（しゅうそく）する「自動詞」,To be solved/become resolved,救出作業が収束した。争いが収束した。事態の収束を図る。争議が収束した。,,
誠意、誠意のある、誠意をもって,"Sincerity, to be sincere, to sincerely~",誠意をこめてやるTo do with sincereity誠意のある謝罪。,,
熱意、熱意のある、熱意をもって,"Enthusiam, to be enthusiastic, to ethusiastically~",熱意を込めてやるTo do with enthusiasm,,
熱心な,To be enthusiastic,,,
簡素な（かんそ）,To be plain and simple,簡略な、単純なに等しいらしい」芝刈り機が簡素な造りの荷車に積んである。,,
簡略な,To be short and simple,,,
単純な,To be simple,,,
荷車,A cart,,,
～嫌い（ぎらい）,A ~ hater,猫嫌い。仕事嫌い。,,
週始めに、週の始めに、週明けに,At the beginning of the week,,,
週の中旬・中間・中頃に,In the middle of the week,,,
週の終わりに,At the end of the week,,,
忘却曲線,The forgetting curve (graduated recall),,,
乳離れする（ちちばなれ）,To wean off the tits,,,
触れ役（ふれやく）,A barker/scryer,,,
減点（げんてん）,To reduce points,,,
仁徳（じんとく）,Benevolence,他人に対する思いやりの心。,,
風情（ふぜい）,To be tasteful (noun),風情のある庭」,,
しっとりとした,"To be moist, to be graceful",湿ってる」しっとりした気分。しっとりした肌。しっとりした物腰の女性。しっとりした食塩。軽く湿気が行き渡ってるさま。,,
屈指の～、～屈指,To be one of the best,国内屈指のチーム。モンタナ州屈指のマス釣りのところ。世界屈指の車の輸入国。,,
くねくねとした,To be windy,くねくね曲がった。,,
敷地（しきち）,Site/grounds,その敷地は軍事上の目的で使用されてる。スーパーの敷地をとるために古い家ｈ取り壊された。学校の敷地はこの垣根まで続いてる。彼らは石を並べて家の敷地の境界にした。,,
川端（かわばた）・川べり（かわべり）・川のほとり,Riverbank,少年時代に川端彼は祖父の面倒を見た。川べりには工場の煙突が林のようにそそり立ってる。あら川の川べりを歩いたのは初めて。,,
遠征（えんせい）,An expedition,その遠征のリーダーは誰だった。その遠征はずいぶんつらい目に遭った。彼はエベレスト頂上の遠征隊の一員だった。遠征試合Ａｎ　ａｗａｙ　ｇａｍｅ我々以外に遠征隊がいるという話は聞いてない。,,
密売する,Illicit trade,その倉庫は麻薬密売者の隠れ蓑だった。麻薬の密売は根こそぎ絶やさらなければならない。,,
隠れ蓑（かくれみの）,A front/cover for illegal activities,,,
司直（しちょく）,A person of judiciary power,法律によってことの是非、善悪を裁くことに係わる役職」,,
内装、外装,"An interior decoration, an exterior decoration",家の内装をして休日を過ごした。彼は家の内装を変えた。,,
仮設（かせつ）,To be temporary,仮設住宅、仮設トイレ、仮設工事,,
保護観察・執行猶予・仮釈放,Probation,保護観察中であるTo be on probation保護観察下に置かれるTo be placed under probation人を保護観察処分にするTo place someone on probation執行猶予中の違反行為。,,
試用期間,A probation period (at work),,,
保釈する,"Bail, to bail out",保釈金。保釈出所中。保釈される。彼を保釈する。,,
家人（かじん）,Family,,,
議事堂（ぎじどう）,Assembly hall (diet),,,
加勢する,To reinforce/back someone up,援軍」人に加勢する。人の見解に加勢する。不当な戦争に加勢するために出かける。,,
側室（そくしつ）,Concubine of a noble,貴人のめかけ」,,
～に応戦する,To fight back,敵に応戦する。彼の攻撃にパンチで応戦する。,,
横線（よこせん）縦線（たてせん）,Horizontal/vertical lines,,,
目付役,A watchdog,議会の目付け役になることを引き受ける。,,
着任する,To start work in a new location or a new type of work,新しい部門で仕事を始めること」㋈一日付けで着任した佐藤です。,,
電気を通す,To conduct electricity,,,
～に電気を走らせる,To run electricity in,,,
処女航海（しょじょこうかい）,A maiden voyage,,,
～へ出航する,To set sail for~,乗り出すとは違って船のことにしか使えない」,,
０次会,A tailgate party,,,
個人主義,Individualism,,,
集団主義,Collectivism,,,
全体主義,Totalitarianism,全てのものを国の統制下に置こうとする政府」,,
出生届,Birth registration,,,
出生する,To be born,出生証明書Ａ　ｂｉｒｔｈ　ｃｅｒｔｉｆｉｃａｔｅ彼はいわゆる自力で出生した人だ。列に並んで長い間待たされたあと身分証明として正式な出生証明書が必要だと言われた。新しい出生政策は人口増加ゼロを目指してる。,,
ばねいた,A springboard,,,
ポイ捨てする,"Littering, to litter",ポイ捨て禁止。ポイ捨て防止。ポイ捨て条例（Ｒｅｇｕｌａｔｉｏｎｓ）,,
記録破りの,A record breaking~,,,
被る（かむる）,To be burdened with,不利益・不安・仕事・責任を被る.,,
淡々「と」（たんたん）,Calmly,冷静にこだわりなく」自分の置かれた境遇を淡々と語り始めた。,,
卑劣な,To be mean,彼はなんと卑劣な男だ。彼にどんな欠点があるにしても卑劣なところはない。彼は私を卑劣なやり方でだました。彼は人の悪口をするような卑劣ン人ではない,,
卑猥な（ひわい）,To be indecent,,,
市販の、市販する,"To be on the market, to sell on the market, over the counter medicine",彼女は市販の教材で家で勉強するしかなかった。これは市販されてるもっとも上等のカバンだ。この種の辞書は市販されてる。新型は来年初め市販される見込みです。新型車は１１月に市販になるだろう。市販薬品・市販薬。Over the counter drugs,,
店頭販売（てんとう）,Over the counter sales,店頭販売計画。,,
空室,A vacant/empty room,空室率,,
職住接近,Living close to work,職住接近を望むサラリーマンは多いからね,,
ゼネコン「ゼネラルコントラクター」,A general contractor,総合建設業者。,,
高止まりする（たかどまり）,To get and stay high,値段や比率などの数字がたか今まで下がらない状態」賃貸オフィスは空室率が高止まりしてるし、ホテルは客足が減って。,,
好調な,To be favorable,都心でもマンションの販売が好調なようですね。滑り出しが好調ならことは半ば成就したのに等しい。昨年は輸出が好調な半面、輸入が落ち着いていたので貿易収支は改善した。商務省の報告によれば、先月の小売販売は０．７％増加しましたが、これはもっぱら好調な自動車販売によるものです。,,
不調な,To be unfavorable,,,
膝詰め（ひざづ）,Face to face,膝詰めで交渉する。膝詰め談判。,,
商務省,The ministry of commerce,,,
都心,A city center,都心の遊休地活用の件ですが。都心では高層ビルが雨後の竹のように増えてる。彼はその商売を都心に集中した。,,
勃発する（ぼっぱつ）,To outbreak (war),第一次世界大戦が勃発したのは１９１４年だった。戦争の勃発で彼らの計画は完全につぶれた。発展途上国と先進諸国が協力すれば戦争の勃発を防ぐことができる。,,
免疫系,Immune system,,,
先進「の」,Advanced,先進の戦闘システム。先進の技術。先進の発展環境により、プロジェクトのあらゆる局面で上皮鵜をタイムリーに活用できる。先進アルゴリズム。先進センサー。先進ハイブリッド推進技術。先進プロテーゼ法の研究者。先進ロボット工学。先進医療技術。,,
ロボット工学,Robotics,,,
主力～、主力の,Core,主力でない事業Ｎｏｎ　ｃｏｒｅ　ｂｕｓｉｎｅｓｓ．主力商品Ｃｏｒｅ／ｆｌａｇｓｈｉｐ　ｐｒｏｄｕｃｔ．主力工場。主力店舗。主力戦闘戦車。主力戦闘機。主力産業Ｃｏｒｅ　ｉｎｄｕｓｔｒｙ主力店舗を開店する。主力社員を繋ぎとめる。主力業務。主力製品ライン。主力選手。主力輸出入品。,,
主力にする,To make the core focus,,,
器物損壊（きぶつそんかい）、器物破損する,"Vandalism, to vandalize",器物損壊のほうが器物破損より強烈な感じ。,,
転居する,To move,経済的に苦しく、借金から逃れるため母親と一緒に転居を繰り返し、戸籍がないままで隠れるように暮らしてきた３０代の女性。,,
～で生まれ育つ,To be born and raised in~,日本で生まれ育った証拠。,,
役場（やくば）,A municipal building,区役所・市役所など」　,,
試運転する,"A test drive, to test drive",試運転では車両はみんなうまく動いた。,,
見定める,To make fully sure/to ascertain,見極める」,,
正当な,Reasonable/just,先生は彼女に正当な扱いをしなかった。私はよい音楽を正当に評価する。君がそのようなことを考える正当な理由はない。正当な理由なしに学校を欠席すべきではない。,,
正当化する,"Justification, to justify",,,
臨床検査技師（りんしょう）,A clinical lab technician,,,
技師,A technician,,,
法律家,An attorney/lawyer,法律家にコケにされる。,,
体罰（たいばつ）,Physical punishment,,,
裾野（すその）,Base,無戸籍（No family registry)の問題に詳しい弁護士のすそ野を広げようとしています。科学教育の裾野。,,
すくすく成長・育つ,To grow up well,成長と育つ以外はほとんど使われない。,,
互換する,To be compatible,互換性Ｃｏｍｐａｔｉｂｉｌｉｔｙ互換性試験Ａ　ｃｏｍｐａｔｉｂｉｌｉｔｙ　ｔｅｓｔ,,
適合する,To be compatible,適合性Ｃｏｍｐａｔｉｂｉｌｉｔｙ適合する、してる、しない」適合する肝臓を持つ人を探す。適合する臓器提供者。適合するように特別に作られた。,,
おもり,A weight,,,
法令,A decree/ a regulation,法令によって。法令により、公表するのが義務付けられてる情報。法令により定める。法令で定められた給料。法令との準拠性。,,
やんちゃな,To be naughty,やんちゃが過ぎる。彼は少年時代はとてもやんちゃだった。,,
朽ちる（くちる）,To rot/decay,朽ちないものは何もない。,,
口内炎「ができてる」,"A mouth sore, a canker sore",口内炎ができて食事するとき、痛くて。,,
もう一息「で」・あともう少し「で」,Just a bit more and,,,
ふと、ふとした,"Unexpectedly, unexpected",ふと立ち止まる。夜中に目が覚めた。ふとした縁で知り合う。ふとしたことでその新しい島の発見となった。ふとしたことでそのうわさが嘘だとわかった。,,
まっしぐら「に」,To do at full speed/pace,目標を目指してまっしぐらに走る。出世街道をまっしぐらに進む。,,
広背筋（こうはい）,Lats,,,
大殿筋,Glutes,,,
剥奪（はくだつ）,"Deprivation, to deprive/strip (of a right/title)",彼らは権限をはく奪された。州政府は彼から市民権を剥奪した。,,
未解明の,To be unsolved,未解明の謎。,,
極微（きょくび・ごくび）,Extremely small,極めて小さい」極微の世界。極微の生物。極微の粒子。,,
解明する「他」,To bring to light (solve),解き明かす」彼の動機を解明する。謎を解明する。事件の真相を解明する。,,
物質、反物質,"Matter, antimatter",物理化学の言葉」,,
陥没する（かんぼつ）,To sink/ to cave in,,,
落盤する（らくばん）,A mine/rock cave in,チリ落盤事故。,,
素粒子（そりゅうし）,An elementary particle/a quark,素粒子加速器,,
量子,A quantom,量子物理学。量子力学Ｑｕａｎｔｏｍ　ｍｅｃｈａｎｉｃｓ,,
電磁気力（でんじきりょく）,Electromagnetic power,,,
一般相対性理論,The theory of general relativity,,,
あながち,Not necessarily,彼の言うことはあながち間違ってない。Ｎｏｔ　ｎｅｃｅｓｓａｒｉｌｙ　ｗｒｏｎｇ,,
敷居（しきい）,Threshhold (the area below a doorway),敷居が高い・物理的に高いか、その場所に行くのは気まずい。また人に接することが気まずい。あんまりご無沙汰してしまった、どうも敷居が高くなってしまった。,,
見限る（みかぎる）,To give up on,彼は会社を見限った。彼女は夫を見限って別れてしまった。,,
スパルタ教育,Severe child raising,,,
熟成する,To become ripe,熟する」食べ物やワインなどが熟する。ワインは樽などの中に入れて熟成させる。熟成したステーキ。熟成したチーズ。熟成したワイン。熟成した味わい。熟成してない。塾生を促進する。塾生を早める。,,
回忌（かいき）,Death anniversary,１３回忌に行った,,
趨勢（すうせい）,A trend / movement,時代の趨勢に従う。社会の趨勢。,,
就寝（しゅうしん）する,To go to bed,就寝の祈り。就寝の時間。,,
組み込みする、組み込む,"To build in, to be built in",コンピュータが組み込まれたロボット。モデムはコンピュータの中に組み込まれた。このシステムには保護回路が組み込まれてる。自動車製造は人間の労働者に代わって、コンピュータが組み込まれたロボットによって行われる。,,
上質「の」（じょうしつ）,Fine quality,上質のワイン。上質紙。上質な毛皮。,,
労務費用,Labor cost,人件費,,
常識外れ「の」,To be outlandish/crazy,,,
謝礼,A monetary reward,専門家に払う料金。,,
うろうろする,To wander around aimlessly,徘徊する・当てもなく歩き回る」,,
陳腐な（ちんぷ）,Cliche/lame,面白味のない」陳腐なことをいう。陳腐な冗談,,
断片,A fragment,断片的なFragmental断片化するFragmentationハードが断片を起こしてるみたい。いわゆる英知は単に知識の断片ではないことを心に留めておくべきだ。このパズルには５００の断片がある。,,
時価（じか）,Current value/market value,その当時の価格」時価６億７０００戦万円に上る。,,
終値（おわりね）初値（はつね）現在値（げんざいち）,"Closing price, opening price, current price (stocks)",,,
議決権,Voting right (in meetings etc),,,
ずらりと,In a row,一覧表にはなんと８９００人もの氏名と住所がずらりと掲載されてる。ずらりと並んだアルミのポットやなべ。大勢の人が歩道にずらりと並んでいた。とおりに道がずらりと軒を重ねていた。彼らはずらりと並んで立っていた。,,
推移する,"Change/fluctuation, to change/fluctuate",変化・移り変わり」天候の推移。季節の推移。時間の推移とともに。,,
準拠法（じゅんきょほう）,An applicable law,,,
所在（しょざい）,Whereabouts,ありか（もの）・行方(人)」業歴が長い、老舗企業はこうした所在のわからない数多くの株主を抱えてるよう。犯人の所在は不明です。責任の所在をはっきりさせる。,,
にしても、～,Either way~,,,
老舗（しにせ）、老舗の,A well established~ (business etc),老舗企業。老舗の会社。老舗の民宿。,,
信託銀行,A trust bank,,,
代行する、代行者、代行~,"Acting as an agent, to act as an agent, an agent, To proxy(an item) proxy~","人の代わりにAgent,物の代わりにProxyの役割を演じること」彼が理事長の代行をしてる。Hes acting as an agent for the board chairman代行者An agent事務処理を代行する。人の仕事を代行する。To act as an agent and do someone's work社会保険手続提出代行Social insruance paperwork proxy submission",,
～の名義で,Under ~s name,事業に名義を貸す。電話は貴方の名義ですか。名義人（めいぎにん）Ｒｉｇｈｔ　ｏｗｎｅｒ彼は娘の名義で毎月収入から１万円を貯蓄した。当座預金口座を妻の名義に書き換えた。本人名義の普通貯金口座。,,
ちゃらける,To joke around,,,
名ばかり「の」,Only in name,名ばかりの会長。名ばかりの王,,
活況を呈す（かっきょう）,To be a lively/active (a market etc),株式市場は活況を呈してる。,,
等閑（なおざり）にする,To neglect,おろそかにする・軽視する」仕事を等閑にする。子供のしつけを等閑にする。,,
株主総会,A general stock holders meeting,,,
上場企業、非上場企業,"A company listed on the stock market, a company not listed on the stock market",上場企業がこんな内容を発表するのを、しばしば目にします。,,
投函する（とうかん）,"Mailing, to mail",手紙、小包などを発送する」この手紙を投函して頂きませんでしょうか。郵送する。昨日その手紙を投函した。忘れずにこの手紙を投函せよ。,,
一押し「の」（いちおし）,To be recommended,この新しい清涼飲料水は、この夏の一押しです。これが一押しのレストランなんだ。今日お気に入りの芸能人が出るミュージカルを見に行き、彼は今年の一押しだね。,,
曖昧模糊とした（もこ）,To be vague,漠然とした、あいまい、ぼんやりしている、はっきりしてない」,,
経過観察する・経過を追う,"Keeping track of progress, to keep track of progress",,,
河川敷（かせんしき）,A riverbed,,,
クレーン・起重機,A crane,,,
浚渫（しゅんせつ）する,"Dredging, to dredge",起重機による救い上げ式、ポンプによる吸い上げ式」,,
起き上がりこぼし,An inflatable punching bag,,,
伸び縮み（のびちぢみ）する・伸縮する（しんしゅく）,"Expansion and contraction, to expand and contract",,,
ひんやりする,To feel cold to the touch (any state of matter),ひんやりした空気の壊死でトムは意識を回復した。ひんやりした風。ひんやりとすがすがしいＣｏｏｌ　ａｎｄ　ｒｅｆｒｅｓｈｉｎｇ,,
すがすがしい,To be brisk/refreshing,すがすがしい秋の天気。すがすがしい風。気分がすがすがしい。森のすがすがしい香り。すがすがしい潮風を吸い込む。すがすがしい日。,,
酔拳（すいけん）,Drunken fist,,,
どんと叩く,To bang/slam,演説者はテーブルどんと叩いた。彼の背中をどんと叩いた。ドアを拳でどんと叩く。,,
拳骨（げんこつ）「で」,A clenched fist,彼は拳骨でテーブルをどんと叩いた。,,
悪酔い（わるよい）,A hangover,二日酔い,,
外敵（がいてき）,A foreign enemy,,,
気構え,Resoluteness,同僚とは仕事への気構えが違う。,,
心構え,Readiness,何事が起ころうと、彼女はそれに対する心構えができてる。,,
根元（ねもと）,Root/base,木・歯・髪・舌などの根元」彼の理論は根元から崩れた。,,
白樺（しらかば）,White birch tree,,,
判断する,"To judge (by yourself, non official)",物事を理解して自分の考えを決めること」,,
判定する,To judge (officially),物事を見極めて決定すること」試合で審判が勝敗を決めること。,,
悠長な（ゆうちょう）,To be leisurely,そんな悠長なことはしていられない。決して悠長な仕事ではない。何を悠長なことを言ってる。,,
のぼせる・のぼせあがる,"To get angry, to get in a tub lol",,,
水臭い（みずくさい）,To be distant,余所余所しい、疎しい」そう水臭くするな,,
毒矢（どくや）,A poison arrow/dart,,,
正義感が強い,To have a strong sense of justice,,,
独立独歩（どっぽ）、独立独行（どっこう）「形容詞」,To be self reliant,,,
安泰な（あんたい）,To be safe/secure,不安も心配もないさま。これで退職するまで安泰だね。彼女に目をかけられれば、あなたは安泰でいられますよ。これで大学で安泰に働ける。ばれるまで安泰だね。,,
おんぼろ「になる」,To be worn out,私の車はおんぼろになってしまいました。坂を下るときに彼女のおんぼろ自転車はキーキー音を立てた。,,
脱着～,To be detachable,脱着式。脱着バックル。脱着キーボード。,,
状況証拠,Circumstantial evidence,,,
海抜～メートル,Height above sea level,海抜ゼロメートル。この都市は海抜1600メートル。その町は海抜3500メートルあり、そこで多くのインカ族に合うことができる。その町は海抜1500メートルのところにある。海抜の低い土地は水浸しになるだろう。このことは人々が住むところがなくなり、農作物は塩水によって損害を受けることを意味する。,,
塩水（しおみず）,Salt water,海水,,
農産物・農作物（のうさくぶつ）,Agricultural products/produce,,,
練習台,A tool for practice,人を練習台として使う。,,
フェチ,A fetish,変な好み」,,
昔ながら「の」,To be unchanged/traditional,あの大工さんは昔ながらの職人気質の人だ。昔ながらのやり方。昔ながらのありふれた声明。昔ながらのアニメ画法。昔ながらのコンサートホール。昔ながらのジャーナリズム。昔ながらのパウンドケーキ。昔ながらのマーケティング。昔ながらの大通り。昔ながらの商店。,,
気質(きしつ）・性質・気心（きごころ）,A temperment/disposition,激しやすい気質。芸術的な気質。穏やかな気質。涙を誘うような話を好むという日本人の気質に合う。成功不成功は気質に左右されることが多い。支払い能力は全く気質の問題だあって、収入の問題ではない。気心が通じる間柄。気心に知れた仲間。,,
気質（かたぎ）,A temperment/disposition (for a trade),商人気質a merchant temperment職人気質。昔気質,,
職人,A craftsman,私はその職人がとても腕が良いと分かった。下手な職人は道具にケチをつける。私は彼が良い職人だと分かった。道具なしで職人は何の役に立とうか。煉瓦職人はその塀に500個の煉瓦が必要だと見積もった。,,
末っ子（すえっこ）,The yougest child,私は末っ子です。両親は末っ子をえこひいきするかもしれない。,,
被写体（ひしゃたい）,A photographic subject,,,
意欲的な,To be ambitious,彼の次の制作は非常に意欲的なミュージカルだった。意欲的な人でないとこの仕事は務まらない。意欲的な人材を雇う。意欲的な口調で話す。意欲的な新事業。意欲的な班を作る。,,
堅気な（かたぎ）,To be honest/respectable (not mafia etc.),堅気で暮らす。堅気な生活を送る。堅気になるTo start leading an honest life人を堅気の商売に就かせる。,,
整地する（せいち）・地ならしする（じ）,To flaten the ground for building/develop the land,整地完了。整地すれば、その土地は値段が上がるだろう。,,
地固めをする（じがた）・足固めする,"Doing groundwork, to do groundwork",建物のための地固めをする。立候補の地固めをする。,,
班（はん）,A group,サマーキャンプでは、彼女が私の班の責任者になった。マークは建設班の中では働き者だった。鑑識班は今日の火事の原因を特定しようとしてる。彼女はセールス班の長なので、上司は営業部長だけだ。,,
滞りなく（とどこおり）,Without a hitch,準備運動からバタ足の練習まで滞りなく進み、レッスンはいたって順調。コンサートは滞りなく終わった。,,
務まる（つとまる）,To be fit for (a job),彼女にその仕事は務まりますか。彼には議長は務まらない。部下を自分の後任が務まるように育て上げる。,,
～に有り付く（ありつく）,To get (something hard to come by),求めてるものを手に入れる。ありつくは、なかなか手に入らなくて、やっとの思いでという意味」このころは仕事にありつくのが難しい。事務はボーイの仕事にありついた。猫は夕食に魚にありつくとワクワクする。それから食事にありつこう！やっと食事にありついた！彼女は就職の面接をいくつも受けたが仕事にありつけなかった。,,
半端な（はんぱ）,To be incomplete/half assed,筋肉痛が半端なさそう(結構ある）。半端な情報。物事を半端にするな。,,
卑小な（ひしょう）,To be petty/insignificant,つまらない、取るに足りない」自分を卑小な存在だと感じさせる。うそをついたことがばれてしまうのは、自分の卑小さを思い知らされる経験です。,,
原価,At cost,原価で売るTo sell at cost原価を割るTo be below cost原価割れで売る。原価分析表。原価を1円に引き下げる・原価を割って・切って売るTo sell below cost,,
点灯する（てんとう）,"Lighting up, to light up",消灯の対義語」表示灯を点灯する。ものに明かりをつける。パリは灯の都と呼ばれてて多くの建物は夜になると点灯される。,,
窒素（ちっそ）,Nitrogen,私たちの吸ってる空気は酸素と窒素からできてる・二酸化窒素NO2亜酸化窒素NOS窒素肥料。窒素処理。窒素ガス。N,,
ヘリウム,Helium,He,,
元素周期表,The periodic table of elements,,,
ウラン,Uranium,U,,
プルトニウム,Plutonium,超ウラン元素Pu,,
蟠り（わだかまり）,Ill feelings,悪感情。侮辱などに対して抱く人に対する悪感情」私は彼女に対して何のわだかまりもない。わだかまりを捨てて話そう。我々の間には何のわだかまりもない。AとBの間にある距離とわだかまりを少しでもなくす。彼女の手紙で私のわだかまりは解けた。わだかまりなく,,
急増する、急減する,To sharply increase/decrease,自動車の輸入は第一四半期には急減するでしょう。7月の工業生産は急増した。不況に喘ぐ店が急増してる。旅行会社の収益が急増した。,,
微増する、微減する,To slightly increase/decrease,,,
急造する,"To build quickly, to slap together",家屋を急増する「大急ぎで建てる」,,
最高値、最安値（たか・やす）「に達する・を記録する」,To reach/record an all time high/low,ソニーの株は30年間での最安値を記録した・に達した。Sony's stock has hit the lowest point in 30 years,,
底を打つ・底を突く,To hit bottom,ソニーの株は30年ぶりに底を打った。Sony's stock has bottomed out for the first time in 30 years,,
ボコボコにする,To beat the crap outta someone,お前をボコボコにしてやる！,,
よぼよぼする,To be old and feeble,よぼよぼのTo be old and decrepit老いぼれの・老衰した,,
悪行（あくぎょう）,A bad deed,彼は悪行の報いを受けるだろう。彼は悪行を後悔してる。どこへ行こうとも、彼の悪行の例が見つかるだろう。,,
吹っ切れる,To overcome or get over an issue one had,心のわだかまりや迷いがなくなる」彼の一言で私のわだかまりが吹っ切れた。ふっきれたようじゃな。,,
尚可（なおか）,To be desirable(job applications),営業経験3年以上あれば、尚可。,,
融合する,To fuse with,やっぱりドールと融合した。第3の問題点は、えめっとが自分の理論とデザインの現実の融合を図ったということである。,,
～に垂れる,To hang down/drip,彼の左目に髪が垂れていた。雲が低く垂れこめていた。鼻水が垂れているよ。彼の服からしずくが垂れてる。彼女の髪は肩に垂れた。濡れたタオルからしずくが垂れていた。,,
